District,School,Assessment,"Proficient, 2022","Proficient, 2023","Proficient, 2024",Percentage point change 2022-'23,Percentage point change 2023-'24
Harford,Edgewood Middle,Mathematics 7,5,5,5,,
Harford,Edgewood Middle,Mathematics 8,5,5,5,,
Harford,Edgewood Middle,English Language Arts 10,,*,,,
Baltimore County,Edmondson Heights Elementary,Mathematics 5,5.8,5.4,10.1,-0.4,4.7
Baltimore County,Edmondson Heights Elementary,Mathematics 4,5,9.3,14.1,,4.8
Baltimore County,Edmondson Heights Elementary,English Language Arts 4,11.8,17.4,19.5,5.6,2.1
Baltimore County,Edmondson Heights Elementary,English Language Arts 5,31.9,16.5,20,-15.4,3.5
Baltimore County,Edmondson Heights Elementary,Mathematics 3,15.6,25.4,28.9,9.8,3.5
Baltimore County,Edmondson Heights Elementary,English Language Arts 3,21.6,23.9,29.1,2.3,5.2
Baltimore City,Edmondson-Westside High,English Language Arts 10,21.9,25.9,19.6,4,-6.3
Baltimore City,Edmondson-Westside High,Algebra 1,5,5,5,,
Prince George's,Edward M. Felegy ES,Mathematics 5,5.1,9.3,7,4.2,-2.3
Prince George's,Edward M. Felegy ES,Mathematics 3,12.3,17.9,10.7,5.6,-7.2
Prince George's,Edward M. Felegy ES,Mathematics 4,6.6,12.1,11.8,5.5,-0.3
Prince George's,Edward M. Felegy ES,English Language Arts 5,25.2,24.3,27.1,-0.9,2.8
Prince George's,Edward M. Felegy ES,English Language Arts 3,33,26.2,27.7,-6.8,1.5
Prince George's,Edward M. Felegy ES,English Language Arts 4,25.4,31.1,33.3,5.7,2.2
Carroll,Eldersburg Elementary,Mathematics 5,54.1,42.3,59.4,-11.8,17.1
Carroll,Eldersburg Elementary,English Language Arts 3,75.8,64,60,-11.8,-4
Carroll,Eldersburg Elementary,Mathematics 4,51.5,73.1,60.2,21.6,-12.9
Carroll,Eldersburg Elementary,English Language Arts 5,62.4,47.9,61.4,-14.5,13.5
Carroll,Eldersburg Elementary,Mathematics 3,64.2,73.3,70.7,9.1,-2.6
Carroll,Eldersburg Elementary,English Language Arts 4,66.2,77.6,70.8,11.4,-6.8
Prince George's,Eleanor Roosevelt High,Algebra 1,7.5,16.6,11.9,9.1,-4.7
Prince George's,Eleanor Roosevelt High,Geometry,,*,24.9,,
Prince George's,Eleanor Roosevelt High,Algebra 2,*,*,36.2,,
Prince George's,Eleanor Roosevelt High,English Language Arts 10,71.3,65.4,63.6,-5.9,-1.8
Cecil,Elk Neck Elementary,English Language Arts 3,53.4,38.6,28.6,-14.8,-10
Cecil,Elk Neck Elementary,Mathematics 4,37.3,43.2,30.1,5.9,-13.1
Cecil,Elk Neck Elementary,Mathematics 5,19.1,26.2,31,7.1,4.8
Cecil,Elk Neck Elementary,Mathematics 3,46.6,35.7,31.7,-10.9,-4
Cecil,Elk Neck Elementary,English Language Arts 4,55.2,58,42.5,2.8,-15.5
Cecil,Elk Neck Elementary,English Language Arts 5,44.8,26.2,50,-18.6,23.8
Howard,Elkridge Elementary,Mathematics 5,24.6,23.4,33.1,-1.2,9.7
Howard,Elkridge Elementary,Mathematics 4,31.2,23.7,37.8,-7.5,14.1
Howard,Elkridge Elementary,Mathematics 3,38.9,42.5,40.9,3.6,-1.6
Howard,Elkridge Elementary,English Language Arts 3,48.1,50,43.9,1.9,-6.1
Howard,Elkridge Elementary,English Language Arts 4,41.5,46.6,51.7,5.1,5.1
Howard,Elkridge Elementary,English Language Arts 5,44.2,47.9,52.2,3.7,4.3
Howard,Elkridge Landing Middle,Mathematics 8,17.1,16.7,8.3,-0.4,-8.4
Howard,Elkridge Landing Middle,Mathematics 7,13.5,16.6,18.3,3.1,1.7
Howard,Elkridge Landing Middle,Mathematics 6,22.1,29.6,22,7.5,-7.6
Howard,Elkridge Landing Middle,English Language Arts 6,59.3,52.6,54.1,-6.7,1.5
Howard,Elkridge Landing Middle,Geometry,52.9,61.2,56.1,8.3,-5.1
Howard,Elkridge Landing Middle,English Language Arts 7,54.8,62.7,57.3,7.9,-5.4
Howard,Elkridge Landing Middle,English Language Arts 8,56.6,60.2,60.9,3.6,0.7
Howard,Elkridge Landing Middle,Algebra 1,64.5,55.4,72.9,-9.1,17.5
Howard,Elkridge Landing Middle,Algebra 2,*,*,*,,
Cecil,Elkton High,English Language Arts 10,50.4,55.1,57.9,4.7,2.8
Cecil,Elkton High,Algebra 1,6.3,5,5,,
Cecil,Elkton Middle,Mathematics 7,7.3,7.2,5.7,-0.1,-1.5
Cecil,Elkton Middle,English Language Arts 6,22,32.4,20.3,10.4,-12.1
Cecil,Elkton Middle,English Language Arts 7,24,40.1,28.5,16.1,-11.6
Cecil,Elkton Middle,English Language Arts 8,23.3,37.4,34.9,14.1,-2.5
Cecil,Elkton Middle,Algebra 1,16.7,35.7,54.1,19,18.4
Cecil,Elkton Middle,Mathematics 6,7.9,5,5,,
Cecil,Elkton Middle,Mathematics 8,5,5,5,,
Howard,Ellicott Mills Middle,Mathematics 8,13.5,15.8,10.8,2.3,-5
Howard,Ellicott Mills Middle,Mathematics 7,21.6,19.7,23.7,-1.9,4
Howard,Ellicott Mills Middle,Mathematics 6,43.4,48,46.6,4.6,-1.4
Howard,Ellicott Mills Middle,Algebra 1,51.6,53.5,60,1.9,6.5
Howard,Ellicott Mills Middle,English Language Arts 8,71,72,66.5,1,-5.5
Howard,Ellicott Mills Middle,English Language Arts 6,72.4,75.9,67.5,3.5,-8.4
Howard,Ellicott Mills Middle,English Language Arts 7,65.9,74.4,71.8,8.5,-2.6
Howard,Ellicott Mills Middle,Geometry,65.9,70.5,75.7,4.6,5.2
Howard,Ellicott Mills Middle,Algebra 2,*,*,*,,
Baltimore City,Elmer A. Henderson: A Johns Hopkins Partnership,Mathematics 5,11.1,6.2,5.6,-4.9,-0.6
Baltimore City,Elmer A. Henderson: A Johns Hopkins Partnership,Mathematics 7,6.5,6.2,6.6,-0.3,0.4
Baltimore City,Elmer A. Henderson: A Johns Hopkins Partnership,Mathematics 4,5,6,8.6,,2.6
Baltimore City,Elmer A. Henderson: A Johns Hopkins Partnership,English Language Arts 6,24.6,29.6,14.3,5,-15.3
Baltimore City,Elmer A. Henderson: A Johns Hopkins Partnership,Mathematics 3,14.5,25.4,14.8,10.9,-10.6
Baltimore City,Elmer A. Henderson: A Johns Hopkins Partnership,English Language Arts 5,23.8,15.4,15.5,-8.4,0.1
Baltimore City,Elmer A. Henderson: A Johns Hopkins Partnership,English Language Arts 3,14.5,36.6,17.7,22.1,-18.9
Baltimore City,Elmer A. Henderson: A Johns Hopkins Partnership,English Language Arts 4,20,19.4,25.7,-0.6,6.3
Baltimore City,Elmer A. Henderson: A Johns Hopkins Partnership,English Language Arts 8,36.7,55,31.7,18.3,-23.3
Baltimore City,Elmer A. Henderson: A Johns Hopkins Partnership,English Language Arts 7,53.2,53.8,42.6,0.6,-11.2
Baltimore City,Elmer A. Henderson: A Johns Hopkins Partnership,Mathematics 6,5,5,5,,
Baltimore City,Elmer A. Henderson: A Johns Hopkins Partnership,Mathematics 8,5,5,5,,
Baltimore City,Elmer A. Henderson: A Johns Hopkins Partnership,Algebra 1,,5,5,,
Carroll,Elmer A. Wolfe Elementary,Mathematics 5,26.5,8.2,18.8,-18.3,10.6
Carroll,Elmer A. Wolfe Elementary,Mathematics 4,10.5,25,31.7,14.5,6.7
Carroll,Elmer A. Wolfe Elementary,English Language Arts 5,58.8,57.4,40,-1.4,-17.4
Carroll,Elmer A. Wolfe Elementary,Mathematics 3,41.6,49.4,47.7,7.8,-1.7
Carroll,Elmer A. Wolfe Elementary,English Language Arts 3,50.6,51.8,51.7,1.2,-0.1
Carroll,Elmer A. Wolfe Elementary,English Language Arts 4,57.9,63,61,5.1,-2
Baltimore County,Elmwood Elementary,Mathematics 3,5,15.3,8.9,,-6.4
Baltimore County,Elmwood Elementary,Mathematics 4,12,7.5,17.7,-4.5,10.2
Baltimore County,Elmwood Elementary,English Language Arts 5,20.8,19.7,19.5,-1.1,-0.2
Baltimore County,Elmwood Elementary,English Language Arts 3,21.8,34.5,21.4,12.7,-13.1
Baltimore County,Elmwood Elementary,English Language Arts 4,30.7,32.9,31.1,2.2,-1.8
Baltimore County,Elmwood Elementary,Mathematics 5,12.9,9.7,5,-3.2,
Washington,Emma K. Doub Elementary,Mathematics 4,41.7,38.7,36.2,-3,-2.5
Washington,Emma K. Doub Elementary,Mathematics 3,45.6,45.2,40.3,-0.4,-4.9
Washington,Emma K. Doub Elementary,Mathematics 5,35.1,38.7,47.8,3.6,9.1
Washington,Emma K. Doub Elementary,English Language Arts 5,49.1,51.6,56.7,2.5,5.1
Washington,Emma K. Doub Elementary,English Language Arts 4,61.7,58.1,56.9,-3.6,-1.2
Washington,Emma K. Doub Elementary,English Language Arts 3,40.4,53.2,62.7,12.8,9.5
Frederick,Emmitsburg Elementary,Mathematics 5,12.9,28.9,31.4,16,2.5
Frederick,Emmitsburg Elementary,English Language Arts 5,61.3,52.6,45.7,-8.7,-6.9
Frederick,Emmitsburg Elementary,Mathematics 4,42.1,34.2,45.8,-7.9,11.6
Frederick,Emmitsburg Elementary,English Language Arts 3,41.7,64,61.1,22.3,-2.9
Frederick,Emmitsburg Elementary,Mathematics 3,38.9,60,69.4,21.1,9.4
Frederick,Emmitsburg Elementary,English Language Arts 4,52.6,50,75,-2.6,25
Harford,Emmorton Elementary,Mathematics 5,22.9,38.5,44.7,15.6,6.2
Harford,Emmorton Elementary,Mathematics 4,31.3,56.1,54.7,24.8,-1.4
Harford,Emmorton Elementary,English Language Arts 5,64.6,56.9,65.9,-7.7,9
Harford,Emmorton Elementary,English Language Arts 3,71.3,69.4,67,-1.9,-2.4
Harford,Emmorton Elementary,Mathematics 3,58.4,64.6,70.7,6.2,6.1
Harford,Emmorton Elementary,English Language Arts 4,64.2,78.5,76,14.3,-2.5
Baltimore City,Empowerment Academy,Mathematics 4,5,11.4,5.9,,-5.5
Baltimore City,Empowerment Academy,Mathematics 6,5,5,6.1,,
Baltimore City,Empowerment Academy,Mathematics 7,5,5,9.1,,
Baltimore City,Empowerment Academy,English Language Arts 4,44,40,20.6,-4,-19.4
Baltimore City,Empowerment Academy,English Language Arts 8,42.9,32.3,28.6,-10.6,-3.7
Baltimore City,Empowerment Academy,Mathematics 3,19.4,16.1,30.3,-3.3,14.2
Baltimore City,Empowerment Academy,English Language Arts 5,19.2,41.2,37.5,22,-3.7
Baltimore City,Empowerment Academy,English Language Arts 3,41.9,35.5,39.4,-6.4,3.9
Baltimore City,Empowerment Academy,English Language Arts 6,12,25,45.5,13,20.5
Baltimore City,Empowerment Academy,English Language Arts 7,10,18.5,50,8.5,31.5
Baltimore City,Empowerment Academy,Mathematics 5,5,5.9,5,,
Baltimore City,Empowerment Academy,Mathematics 8,5,5,5,,
Baltimore City,Empowerment Academy,Algebra 1,5,5,5,,
Prince George's,Ernest Everett Just Middle,English Language Arts 8,38.4,29,28.2,-9.4,-0.8
Prince George's,Ernest Everett Just Middle,English Language Arts 7,32.8,37.6,32.9,4.8,-4.7
Prince George's,Ernest Everett Just Middle,English Language Arts 6,34.5,43.8,45,9.3,1.2
Prince George's,Ernest Everett Just Middle,Mathematics 6,5,5.3,5,,
Prince George's,Ernest Everett Just Middle,Mathematics 7,5,5,5,,
Prince George's,Ernest Everett Just Middle,Mathematics 8,5,5,5,,
Prince George's,Ernest Everett Just Middle,Algebra 1,6.1,9.8,,,
Prince George's,Ernest Everett Just Middle,Geometry,*,,,,
Saint Mary's,Esperanza Middle,Mathematics 8,11.3,18.4,21.6,7.1,3.2
Saint Mary's,Esperanza Middle,Mathematics 6,25.6,26.6,30.2,1,3.6
Saint Mary's,Esperanza Middle,Mathematics 7,35.8,39.2,35.9,3.4,-3.3
Saint Mary's,Esperanza Middle,English Language Arts 8,45.8,50.9,49.1,5.1,-1.8
Saint Mary's,Esperanza Middle,English Language Arts 7,54.9,56.7,56.2,1.8,-0.5
Saint Mary's,Esperanza Middle,English Language Arts 6,49.3,56.4,57.9,7.1,1.5
Saint Mary's,Esperanza Middle,Algebra 1,64,74.7,73.8,10.7,-0.9
Saint Mary's,Esperanza Middle,Geometry,*,*,*,,
Baltimore County,Essex Elementary,Mathematics 5,13,9,13.9,-4,4.9
Baltimore County,Essex Elementary,Mathematics 4,11.4,21.9,17.3,10.5,-4.6
Baltimore County,Essex Elementary,Mathematics 3,25,24.6,19.4,-0.4,-5.2
Baltimore County,Essex Elementary,English Language Arts 5,13.2,14.3,27.8,1.1,13.5
Baltimore County,Essex Elementary,English Language Arts 4,20.5,45.3,31.5,24.8,-13.8
Baltimore County,Essex Elementary,English Language Arts 3,28.1,36.2,34.7,8.1,-1.5
Baltimore City,Eutaw-Marshburn Elementary,English Language Arts 4,6.9,5.7,,,
Baltimore City,Eutaw-Marshburn Elementary,Mathematics 5,5,9.1,,,
Baltimore City,Eutaw-Marshburn Elementary,English Language Arts 3,10.8,18.5,,,
Baltimore City,Eutaw-Marshburn Elementary,English Language Arts 5,13.8,5,,,
Baltimore City,Eutaw-Marshburn Elementary,Mathematics 3,5,5,,,
Baltimore City,Eutaw-Marshburn Elementary,Mathematics 4,5,5,,,
Charles,Eva Turner Elementary School,English Language Arts 5,14.3,7.1,9.5,-7.2,2.4
Charles,Eva Turner Elementary School,English Language Arts 3,16.9,36.5,11.1,19.6,-25.4
Charles,Eva Turner Elementary School,Mathematics 4,7.3,7.4,17.1,0.1,9.7
Charles,Eva Turner Elementary School,English Language Arts 4,30.9,11.8,21.7,-19.1,9.9
Charles,Eva Turner Elementary School,Mathematics 3,10.8,29.7,5,18.9,
Charles,Eva Turner Elementary School,Mathematics 5,5,5,5,,
Saint Mary's,Evergreen Elementary School,Mathematics 4,51.3,56.2,46.3,4.9,-9.9
Saint Mary's,Evergreen Elementary School,English Language Arts 3,52,55.5,51.8,3.5,-3.7
Saint Mary's,Evergreen Elementary School,Mathematics 5,52.7,41.9,52.9,-10.8,11
Saint Mary's,Evergreen Elementary School,Mathematics 3,51.2,54.7,54.4,3.5,-0.3
Saint Mary's,Evergreen Elementary School,English Language Arts 5,59.2,55.4,63.2,-3.8,7.8
Saint Mary's,Evergreen Elementary School,English Language Arts 4,72.6,66.2,70.5,-6.4,4.3
Somerset,Ewell School,English Language Arts 7,*,*,,,
Somerset,Ewell School,Mathematics 7,*,*,,,
Somerset,Ewell School,English Language Arts 3,,*,,,
Somerset,Ewell School,Mathematics 3,,*,,,
Somerset,Ewell School,English Language Arts 5,*,,,,
Somerset,Ewell School,English Language Arts 6,*,,,,
Somerset,Ewell School,Mathematics 5,*,,,,
Somerset,Ewell School,Mathematics 6,*,,,,
Baltimore City,Excel Academy at Francis M. Wood High,English Language Arts 10,11.5,5,6.5,,
Baltimore City,Excel Academy at Francis M. Wood High,Algebra 1,5,5,5,,
Prince George's,Excel Academy Public Charter,Mathematics 4,14.6,26.3,10.4,11.7,-15.9
Prince George's,Excel Academy Public Charter,Mathematics 8,5,5.3,20,,14.7
Prince George's,Excel Academy Public Charter,English Language Arts 3,33.3,50,20,16.7,-30
Prince George's,Excel Academy Public Charter,English Language Arts 7,35,37.5,20.5,2.5,-17
Prince George's,Excel Academy Public Charter,English Language Arts 4,45.8,60.5,22.9,14.7,-37.6
Prince George's,Excel Academy Public Charter,English Language Arts 6,43.6,28.6,23.5,-15,-5.1
Prince George's,Excel Academy Public Charter,Mathematics 3,8.9,12.5,27.3,3.6,14.8
Prince George's,Excel Academy Public Charter,English Language Arts 8,32.6,21.1,32,-11.5,10.9
Prince George's,Excel Academy Public Charter,English Language Arts 5,12.2,23.7,32.6,11.5,8.9
Prince George's,Excel Academy Public Charter,Mathematics 5,5,5.3,5,,
Prince George's,Excel Academy Public Charter,Mathematics 6,5,5,5,,
Prince George's,Excel Academy Public Charter,Mathematics 7,5,5,5,,
Charles,F. B. Gwynn Educational Center,English Language Arts 3,*,*,*,,
Charles,F. B. Gwynn Educational Center,English Language Arts 4,*,*,*,,
Charles,F. B. Gwynn Educational Center,English Language Arts 5,*,*,*,,
Charles,F. B. Gwynn Educational Center,Mathematics 3,*,*,*,,
Charles,F. B. Gwynn Educational Center,Mathematics 4,*,*,*,,
Charles,F. B. Gwynn Educational Center,Mathematics 5,*,*,*,,
Charles,F. B. Gwynn Educational Center,English Language Arts 6,*,,*,,
Charles,F. B. Gwynn Educational Center,Mathematics 6,*,,*,,
Charles,F. B. Gwynn Educational Center,English Language Arts 7,*,,,,
Charles,F. B. Gwynn Educational Center,Mathematics 7,*,,,,
Montgomery,Fairland Elementary,Mathematics 4,26.6,32.2,21.7,5.6,-10.5
Montgomery,Fairland Elementary,Mathematics 5,7.7,22.2,29.1,14.5,6.9
Montgomery,Fairland Elementary,English Language Arts 4,36.4,52.4,31.6,16,-20.8
Montgomery,Fairland Elementary,English Language Arts 5,32.5,36.7,32.9,4.2,-3.8
Montgomery,Fairland Elementary,Mathematics 3,38.4,36.9,44.9,-1.5,8
Montgomery,Fairland Elementary,English Language Arts 3,43.5,50,49.3,6.5,-0.7
Saint Mary's,Fairlead Academy,English Language Arts 10,17.1,18.9,17.9,1.8,-1
Saint Mary's,Fairlead Academy,Algebra 1,*,*,*,,
Saint Mary's,Fairlead Academy,Geometry,,5,5,,
Prince George's,Fairmont Heights High,English Language Arts 10,33.6,30.8,30.7,-2.8,-0.1
Prince George's,Fairmont Heights High,Geometry,,*,5,,
Prince George's,Fairmont Heights High,Algebra 1,5,5,5,,
Prince George's,Fairmont Heights High,Algebra 2,*,,,,
Montgomery,Fallsmead Elementary,English Language Arts 5,68.3,74,63,5.7,-11
Montgomery,Fallsmead Elementary,English Language Arts 3,81,78.2,69.8,-2.8,-8.4
Montgomery,Fallsmead Elementary,Mathematics 3,83.9,77.5,70,-6.4,-7.5
Montgomery,Fallsmead Elementary,Mathematics 5,58.8,69.8,70.5,11,0.7
Montgomery,Fallsmead Elementary,Mathematics 4,64.6,64.8,75,0.2,10.2
Montgomery,Fallsmead Elementary,English Language Arts 4,69.8,77,77.4,7.2,0.4
Baltimore City,Fallstaff Elementary/Middle,Mathematics 8,5,6.7,6.9,,0.2
Baltimore City,Fallstaff Elementary/Middle,English Language Arts 6,20,8.9,9.1,-11.1,0.2
Baltimore City,Fallstaff Elementary/Middle,English Language Arts 5,12.2,13.7,9.4,1.5,-4.3
Baltimore City,Fallstaff Elementary/Middle,English Language Arts 4,12.5,16,12.8,3.5,-3.2
Baltimore City,Fallstaff Elementary/Middle,Mathematics 3,5,5,15.4,,
Baltimore City,Fallstaff Elementary/Middle,English Language Arts 7,20.6,22.7,16.1,2.1,-6.6
Baltimore City,Fallstaff Elementary/Middle,English Language Arts 3,5,18.4,21,,2.6
Baltimore City,Fallstaff Elementary/Middle,English Language Arts 8,37.1,32.9,29.2,-4.2,-3.7
Baltimore City,Fallstaff Elementary/Middle,Algebra 1,*,*,*,,
Baltimore City,Fallstaff Elementary/Middle,Mathematics 5,5,9.4,5,,
Baltimore City,Fallstaff Elementary/Middle,Mathematics 4,5,5,5,,
Baltimore City,Fallstaff Elementary/Middle,Mathematics 6,5,5,5,,
Baltimore City,Fallstaff Elementary/Middle,Mathematics 7,5,5,5,,
Harford,Fallston High,Algebra 1,5.2,5,12.1,,
Harford,Fallston High,Algebra 2,5,21.2,38,,16.8
Harford,Fallston High,English Language Arts 10,74.1,68.2,68.3,-5.9,0.1
Harford,Fallston High,Geometry,5,5,5,,
Harford,Fallston Middle School,Mathematics 8,5.2,9.6,13.1,4.4,3.5
Harford,Fallston Middle School,Mathematics 7,15,23.6,30.7,8.6,7.1
Harford,Fallston Middle School,Mathematics 6,36.9,36.4,40.9,-0.5,4.5
Harford,Fallston Middle School,Algebra 1,33.5,62.9,60.9,29.4,-2
Harford,Fallston Middle School,Geometry,44.3,56.3,61.6,12,5.3
Harford,Fallston Middle School,English Language Arts 8,64,70.5,64.1,6.5,-6.4
Harford,Fallston Middle School,English Language Arts 7,57.9,69.2,73.6,11.3,4.4
Harford,Fallston Middle School,English Language Arts 6,65.2,81.6,76.9,16.4,-4.7
Harford,Fallston Middle School,Algebra 2,*,,,,
Montgomery,Farmland Elementary,Mathematics 4,47.6,60.8,55.4,13.2,-5.4
Montgomery,Farmland Elementary,English Language Arts 3,88.6,76.2,61.7,-12.4,-14.5
Montgomery,Farmland Elementary,Mathematics 5,52.4,57,61.9,4.6,4.9
Montgomery,Farmland Elementary,Mathematics 3,71.9,78.2,62.4,6.3,-15.8
Montgomery,Farmland Elementary,English Language Arts 5,67,68.1,66.4,1.1,-1.7
Montgomery,Farmland Elementary,English Language Arts 4,70.9,61.6,70.5,-9.3,8.9
Baltimore County,Featherbed Lane Elementary,Mathematics 5,5.8,10.4,18.5,4.6,8.1
Baltimore County,Featherbed Lane Elementary,Mathematics 3,27,13,18.8,-14,5.8
Baltimore County,Featherbed Lane Elementary,Mathematics 4,10.6,20.5,20,9.9,-0.5
Baltimore County,Featherbed Lane Elementary,English Language Arts 3,31.4,25,23.8,-6.4,-1.2
Baltimore County,Featherbed Lane Elementary,English Language Arts 5,33,23.9,25.6,-9.1,1.7
Baltimore County,Featherbed Lane Elementary,English Language Arts 4,22.7,32.2,30.8,9.5,-1.4
Baltimore City,Federal Hill Preparatory Academy,Mathematics 4,27.7,41,25,13.3,-16
Baltimore City,Federal Hill Preparatory Academy,Mathematics 5,37,34.8,41.2,-2.2,6.4
Baltimore City,Federal Hill Preparatory Academy,English Language Arts 3,39.1,42.9,43.2,3.8,0.3
Baltimore City,Federal Hill Preparatory Academy,Mathematics 3,52.2,34.3,47.7,-17.9,13.4
Baltimore City,Federal Hill Preparatory Academy,English Language Arts 4,31.3,66.7,57.1,35.4,-9.6
Baltimore City,Federal Hill Preparatory Academy,English Language Arts 5,66.7,46.7,67.6,-20,20.9
Caroline,Federalsburg Elementary School,Mathematics 4,11.7,19.4,8.9,7.7,-10.5
Caroline,Federalsburg Elementary School,Mathematics 5,14.5,15.6,13.2,1.1,-2.4
Caroline,Federalsburg Elementary School,Mathematics 3,39,22.5,20.3,-16.5,-2.2
Caroline,Federalsburg Elementary School,English Language Arts 3,37.9,31.7,20.6,-6.2,-11.1
Caroline,Federalsburg Elementary School,English Language Arts 4,18.6,39.7,26.7,21.1,-13
Caroline,Federalsburg Elementary School,English Language Arts 5,51.9,46,37.3,-5.9,-8.7
Montgomery,Fields Road Elementary,Mathematics 5,26.8,19,32.8,-7.8,13.8
Montgomery,Fields Road Elementary,English Language Arts 5,42.9,32.3,34.4,-10.6,2.1
Montgomery,Fields Road Elementary,Mathematics 4,26.7,31.3,35.1,4.6,3.8
Montgomery,Fields Road Elementary,English Language Arts 4,37.5,46.2,41.1,8.7,-5.1
Montgomery,Fields Road Elementary,Mathematics 3,50.7,43.1,50.6,-7.6,7.5
Montgomery,Fields Road Elementary,English Language Arts 3,47.1,43.7,51.4,-3.4,7.7
Baltimore County,Fifth District Elementary,Mathematics 4,73.1,77.8,69,4.7,-8.8
Baltimore County,Fifth District Elementary,Mathematics 3,69.8,81,71.4,11.2,-9.6
Baltimore County,Fifth District Elementary,Mathematics 5,63.3,70.6,75,7.3,4.4
Baltimore County,Fifth District Elementary,English Language Arts 5,71.4,78.4,82.1,7,3.7
Baltimore County,Fifth District Elementary,English Language Arts 3,61.1,88.1,83.7,27,-4.4
Baltimore County,Fifth District Elementary,English Language Arts 4,86.5,79.6,90.2,-6.9,10.6
Carroll,Flexible Student Support,English Language Arts 10,*,*,*,,
Carroll,Flexible Student Support,Algebra 1,*,*,*,,
Prince George's,Flintstone Elementary,Mathematics 5,5,5,6.1,,
Prince George's,Flintstone Elementary,Mathematics 4,5,14.3,10,,-4.3
Prince George's,Flintstone Elementary,Mathematics 3,16.7,33.9,14.3,17.2,-19.6
Allegany,Flintstone Elementary,Mathematics 4,22.9,41.9,21.7,19,-20.2
Prince George's,Flintstone Elementary,English Language Arts 5,20,23.8,22.7,3.8,-1.1
Prince George's,Flintstone Elementary,English Language Arts 4,25,27.9,28.3,2.9,0.4
Prince George's,Flintstone Elementary,English Language Arts 3,24.3,33.3,30.9,9,-2.4
Allegany,Flintstone Elementary,Mathematics 5,5,14.3,33.3,,19
Allegany,Flintstone Elementary,Mathematics 3,42.4,19.2,55.6,-23.2,36.4
Allegany,Flintstone Elementary,English Language Arts 5,25.8,57.1,60.6,31.3,3.5
Allegany,Flintstone Elementary,English Language Arts 3,63.6,46.2,66.7,-17.4,20.5
Allegany,Flintstone Elementary,English Language Arts 4,62.9,67.7,73.9,4.8,6.2
Montgomery,Flora M. Singer Elementary,Mathematics 4,,33.3,26.2,,-7.1
Montgomery,Flora M. Singer Elementary,Mathematics 5,,40.4,29.6,,-10.8
Montgomery,Flora M. Singer Elementary,English Language Arts 5,,48.9,40.2,,-8.7
Montgomery,Flora M. Singer Elementary,English Language Arts 4,,50.5,44.9,,-5.6
Montgomery,Flora M. Singer Elementary,Mathematics 3,,51.9,45.8,,-6.1
Montgomery,Flora M. Singer Elementary,English Language Arts 3,,48.1,50.5,,2.4
Montgomery,Flora M. Singer Elementary School,Mathematics 5,25,,,,
Montgomery,Flora M. Singer Elementary School,Mathematics 4,35.9,,,,
Montgomery,Flora M. Singer Elementary School,Mathematics 3,46,,,,
Montgomery,Flora M. Singer Elementary School,English Language Arts 5,48.2,,,,
Montgomery,Flora M. Singer Elementary School,English Language Arts 3,49.4,,,,
Montgomery,Flora M. Singer Elementary School,English Language Arts 4,58.9,,,,
Montgomery,Flower Hill Elementary,Mathematics 4,11.9,15.6,11.9,3.7,-3.7
Montgomery,Flower Hill Elementary,Mathematics 5,11.1,14.7,16.9,3.6,2.2
Montgomery,Flower Hill Elementary,Mathematics 3,33.3,21.9,22.2,-11.4,0.3
Montgomery,Flower Hill Elementary,English Language Arts 5,22.6,19.7,31.5,-2.9,11.8
Montgomery,Flower Hill Elementary,English Language Arts 4,29.2,25.4,32.8,-3.8,7.4
Montgomery,Flower Hill Elementary,English Language Arts 3,33.3,32.4,45.1,-0.9,12.7
Montgomery,Flower Valley Elementary,Mathematics 4,24,41.5,37.6,17.5,-3.9
Montgomery,Flower Valley Elementary,Mathematics 5,48.3,31.6,37.8,-16.7,6.2
Montgomery,Flower Valley Elementary,English Language Arts 4,50,57,48.2,7,-8.8
Montgomery,Flower Valley Elementary,English Language Arts 5,61.4,58.4,51.5,-3,-6.9
Montgomery,Flower Valley Elementary,Mathematics 3,61.1,54.7,53.6,-6.4,-1.1
Montgomery,Flower Valley Elementary,English Language Arts 3,71.1,70.2,61.9,-0.9,-8.3
Anne Arundel,Folger Mckinsey Elementary,Mathematics 4,58,70.5,62.7,12.5,-7.8
Anne Arundel,Folger Mckinsey Elementary,Mathematics 5,62.4,60.5,63.4,-1.9,2.9
Anne Arundel,Folger Mckinsey Elementary,Mathematics 3,70,73.3,75,3.3,1.7
Anne Arundel,Folger Mckinsey Elementary,English Language Arts 5,79.6,70.2,75.5,-9.4,5.3
Anne Arundel,Folger Mckinsey Elementary,English Language Arts 3,80,82.2,78.4,2.2,-3.8
Anne Arundel,Folger Mckinsey Elementary,English Language Arts 4,84,78.9,80.4,-5.1,1.5
Howard,Folly Quarter Middle,Mathematics 7,36.2,38.8,36.9,2.6,-1.9
Howard,Folly Quarter Middle,Mathematics 8,34.5,35,42.9,0.5,7.9
Howard,Folly Quarter Middle,Mathematics 6,57.5,50.2,64.6,-7.3,14.4
Howard,Folly Quarter Middle,English Language Arts 7,82.7,81.1,71.8,-1.6,-9.3
Howard,Folly Quarter Middle,Algebra 1,69.5,87.3,78.9,17.8,-8.4
Howard,Folly Quarter Middle,English Language Arts 8,82.5,85.5,81.4,3,-4.1
Howard,Folly Quarter Middle,English Language Arts 6,88.4,72.9,83.6,-15.5,10.7
Howard,Folly Quarter Middle,Algebra 2,91.7,*,95,,
